iter	Passed	Remaining
0	148	29643
1	151	14994
2	155	10236
3	158	7748
4	160	6240
5	166	5395
6	171	4718
7	172	4151
8	175	3714
9	181	3446
10	184	3171
11	186	2925
12	188	2706
13	189	2517
14	190	2353
15	195	2247
16	197	2129
17	199	2015
18	200	1913
19	202	1821
20	203	1738
21	205	1661
22	206	1591
23	213	1568
24	215	1506
25	216	1450
26	218	1397
27	219	1347
28	221	1303
29	228	1295
30	230	1258
31	232	1220
32	233	1183
33	235	1149
34	236	1116
35	240	1095
36	243	1073
37	245	1045
38	246	1018
39	248	993
40	250	969
41	256	963
42	258	944
43	261	928
44	263	908
45	265	888
46	272	888
47	274	870
48	276	853
49	279	837
50	285	833
51	288	820
52	290	805
53	292	790
54	295	780
55	301	774
56	304	764
57	306	751
58	308	736
59	310	723
60	311	710
61	317	706
62	319	694
63	321	684
64	325	675
65	327	664
66	329	653
67	334	649
68	337	640
69	340	631
70	341	621
71	343	610
72	349	607
73	352	600
74	354	591
75	357	583
76	359	574
77	364	570
78	368	564
79	370	555
80	371	546
81	373	537
82	375	529
83	381	526
84	386	523
85	389	515
86	390	507
87	392	499
88	397	495
89	400	489
90	402	482
91	404	474
92	406	467
93	407	460
94	413	456
95	415	450
96	417	443
97	420	437
98	423	431
99	428	428
100	432	423
101	434	417
102	436	411
103	438	404
104	446	403
105	448	397
106	449	390
107	452	385
108	453	378
109	459	376
110	462	370
111	470	370
112	477	367
113	479	361
114	482	356
115	483	350
116	486	344
117	488	339
118	495	337
119	497	331
120	499	326
121	501	320
122	503	315
123	511	313
124	512	307
125	514	302
126	516	296
127	518	291
128	520	286
129	525	283
130	528	278
131	530	273
132	533	268
133	535	263
134	541	260
135	545	256
136	547	251
137	549	247
138	551	242
139	561	240
140	564	236
141	567	231
142	575	229
143	577	224
144	579	219
145	581	215
146	583	210
147	589	207
148	592	202
149	595	198
150	597	193
151	599	189
152	607	186
153	610	182
154	612	177
155	615	173
156	625	171
157	627	166
158	630	162
159	644	161
160	647	156
161	654	153
162	661	150
163	665	146
164	671	142
165	674	138
166	675	133
167	685	130
168	688	126
169	690	121
170	697	118
171	702	114
172	705	110
173	707	105
174	717	102
175	719	98
176	721	93
177	734	90
178	737	86
179	739	82
180	740	77
181	752	74
182	754	70
183	755	65
184	757	61
185	762	57
186	764	53
187	768	49
188	770	44
189	772	40
190	780	36
191	782	32
192	785	28
193	787	24
194	789	20
195	794	16
196	798	12
197	802	8
198	805	4
199	807	0
